"","logFC","logCPM","F","PValue","FDR","SYMBOL","GENENAME","ENTREZID"
"ENSMUSG00000001131",8.78236436633191,7.32018398147229,275.763222324818,5.45658770053017e-11,6.98864585257716e-07,"Timp1","tissue inhibitor of metalloproteinase 1","21857"
"ENSMUSG00000023505",5.26749374562247,5.14629027114061,375.326712627663,7.72524827566148e-11,6.98864585257716e-07,"Cdca3","cell division cycle associated 3","14793"
"ENSMUSG00000022033",5.80726454033683,5.41702765706417,341.343609775142,1.36326749400974e-10,8.22186625637274e-07,"Pbk","PDZ binding kinase","52033"
"ENSMUSG00000031004",4.83121513364184,4.30375100826411,299.648181508439,3.10142371477188e-10,1.40285148178419e-06,"Mki67","antigen identified by monoclonal antibody Ki 67","17345"
"ENSMUSG00000020649",4.61780225916796,6.6908332546957,269.40815319984,5.58224849123768e-10,2.01999243903927e-06,"Rrm2","ribonucleotide reductase M2","20135"
"ENSMUSG00000019942",4.80286518721335,6.22866944938749,240.945073863391,1.11527178912897e-09,3.3631020801184e-06,"Cdk1","cyclin dependent kinase 1","12534"
"ENSMUSG00000032218",6.39237671744178,5.37779124310822,234.515739789748,1.38054151336207e-09,3.40742630853046e-06,"Ccnb2","cyclin B2","12442"
"ENSMUSG00000001403",5.11101623662045,5.919154932533,229.017068393614,1.53884526983738e-09,3.40742630853046e-06,"Ube2c","ubiquitin-conjugating enzyme E2C","68612"
"ENSMUSG00000041431",6.10732702393611,6.00722760652704,226.486649466571,1.69495588220716e-09,3.40742630853046e-06,"Ccnb1","cyclin B1","268697"
"ENSMUSG00000005233",3.91128791202839,5.74956209393025,217.613322882483,2.05594052596268e-09,3.66236930913613e-06,"Spc25","SPC25, NDC80 kinetochore complex component, homolog (S. cerevisiae)","66442"
"ENSMUSG00000020914",4.38893625945264,4.75191045265088,216.022621178829,2.22661042394835e-09,3.66236930913613e-06,"Top2a","topoisomerase (DNA) II alpha","21973"
"ENSMUSG00000021091",6.00957327234606,7.13580092374307,193.665137179936,4.15198712383196e-09,6.26015858595764e-06,"Serpina3n","serine (or cysteine) peptidase inhibitor, clade A, member 3N","20716"
"ENSMUSG00000020808",5.82174315732964,4.21339295034968,175.042895709017,5.72740412622205e-09,7.49279084619714e-06,"Pimreg","PICALM interacting mitotic regulator","109212"
"ENSMUSG00000074476",5.18156860437377,4.07598996749521,183.125538401174,6.01377994701421e-09,7.49279084619714e-06,"Spc24","SPC24, NDC80 kinetochore complex component, homolog (S. cerevisiae)","67629"
"ENSMUSG00000022218",7.08136273385702,3.84010142756802,173.905540264932,6.45223704995697e-09,7.49279084619714e-06,"Tgm1","transglutaminase 1, K polypeptide","21816"
"ENSMUSG00000027469",4.06042078974897,4.829703208975,180.179654899831,6.6260240722464e-09,7.49279084619714e-06,"Tpx2","TPX2, microtubule-associated","72119"
"ENSMUSG00000028873",4.47883307572959,4.99951527484252,177.127342695485,7.27294975957361e-09,7.74055764705679e-06,"Cdca8","cell division cycle associated 8","52276"
"ENSMUSG00000031444",7.54032144894264,3.27822172414986,125.997050573753,8.58100000074798e-09,8.62533516741851e-06,"F10","coagulation factor X","14058"
"ENSMUSG00000020932",4.43994630153491,6.75058036135826,167.515188951105,9.89166478866966e-09,9.41946794849474e-06,"Gfap","glial fibrillary acidic protein","14580"
"ENSMUSG00000005087",4.24846934528533,6.75907518444592,160.831991837397,1.262595401322e-08,1.13293316057805e-05,"Cd44","CD44 antigen","12505"
"ENSMUSG00000068220",3.50661924856111,9.07195314185376,158.326195720738,1.38412469705235e-08,1.13293316057805e-05,"Lgals1","lectin, galactose binding, soluble 1","16852"
"ENSMUSG00000027331",3.97627650796768,4.37386839752643,158.653874609335,1.40378322953486e-08,1.13293316057805e-05,"Knstrn","kinetochore-localized astrin/SPAG5 binding","51944"
"ENSMUSG00000025574",4.38476716391899,5.27838360867178,157.53600172152,1.44019580463689e-08,1.13293316057805e-05,"Tk1","thymidine kinase 1","21877"
"ENSMUSG00000026683",3.99285200986591,4.23755046602285,155.793853009246,1.58261438576468e-08,1.19309342006835e-05,"Nuf2","NUF2, NDC80 kinetochore complex component","66977"
"ENSMUSG00000006398",3.29024132776687,5.08552172580019,149.872787979017,1.92331171038374e-08,1.39193915103892e-05,"Cdc20","cell division cycle 20","107995"
"ENSMUSG00000017716",5.55093398514948,5.88282350502691,145.457239206615,2.34227616099954e-08,1.62995394542172e-05,"Birc5","baculoviral IAP repeat-containing 5","11799"
"ENSMUSG00000040152",6.3050049622171,8.30269378539898,142.860087361359,2.56387968521606e-08,1.6793754454084e-05,"Thbs1","thrombospondin 1","21825"
"ENSMUSG00000030789",3.82114400767583,4.45561768876912,143.009453803927,2.59893397841349e-08,1.6793754454084e-05,"Itgax","integrin alpha X","16411"
"ENSMUSG00000045328",3.18086935715368,4.10938814466694,140.191351149057,2.88865483124072e-08,1.70702909675304e-05,"Cenpe","centromere protein E","229841"
"ENSMUSG00000027715",4.41129456180972,4.99296425568715,140.329103766415,2.91434139363265e-08,1.70702909675304e-05,"Ccna2","cyclin A2","12428"
