"","logFC","logCPM","F","PValue","FDR","SYMBOL","GENENAME","ENTREZID"
"ENSMUSG00000031972",8.90462612152804,2.98625125264116,340.363492882496,9.35046445351141e-14,1.14276896147188e-09,"Acta1","actin alpha 1, skeletal muscle","11459"
"ENSMUSG00000028238",10.4920919258608,7.87545088518655,503.118185538428,1.42802373089486e-13,1.14276896147188e-09,"Atp6v0d2","ATPase, H+ transporting, lysosomal V0 subunit D2","242341"
"ENSMUSG00000051041",-8.47128384822259,6.15175637439542,606.880428839419,1.89482500658578e-13,1.14276896147188e-09,"Olfml1","olfactomedin-like 1","244198"
"ENSMUSG00000050578",9.76867459850661,7.12670911750587,456.311310568852,4.52561335390472e-13,1.6717542161986e-09,"Mmp13","matrix metallopeptidase 13","17386"
"ENSMUSG00000004894",-8.99189175488739,6.77464118537981,650.431027923099,4.61989226827668e-13,1.6717542161986e-09,"Hapln2","hyaluronan and proteoglycan link protein 2","73940"
"ENSMUSG00000009654",8.87466068129339,3.33282845250905,302.654825298021,8.26536212408851e-13,2.49241994851889e-09,"Oit3","oncoprotein induced transcript 3","18302"
"ENSMUSG00000019997",8.76784854514744,8.99490863905654,719.943189850358,1.21606358019119e-12,2.86577930875011e-09,"Ccn2","cellular communication network factor 2","14219"
"ENSMUSG00000001773",-7.70206636289179,4.25175244065306,372.042875730125,1.26713283977233e-12,2.86577930875011e-09,"Folh1","folate hydrolase 1","53320"
"ENSMUSG00000062515",7.20367269422736,6.31030068097763,598.295908238482,1.9725587052236e-12,3.96550051706785e-09,"Fabp4","fatty acid binding protein 4, adipocyte","11770"
"ENSMUSG00000044206",8.38765883846853,2.47756257359293,231.948338375731,3.04272869254855e-12,5.5052090234281e-09,"Vsig4","V-set and immunoglobulin domain containing 4","278180"
"ENSMUSG00000040133",6.90614352543948,4.12723738530751,498.852986617558,3.87876060396459e-12,6.37985596432104e-09,"Gpr176","G protein-coupled receptor 176","381413"
"ENSMUSG00000090164",-8.47460780723313,4.76384812968937,322.869627513882,6.09798408831519e-12,9.19423550915722e-09,"BC035044","cDNA sequence BC035044","232406"
"ENSMUSG00000042367",6.91119475130669,1.67786713236775,215.393174629312,6.88504947914861e-12,9.36266845412623e-09,"Gjb3","gap junction protein, beta 3","14620"
"ENSMUSG00000043448",-8.54817452535387,5.90181311854117,412.41645029397,7.24464479952287e-12,9.36266845412623e-09,"Gjc2","gap junction protein, gamma 2","118454"
"ENSMUSG00000022311",-7.06807643821889,4.85920739657957,424.692215586829,8.27688416033543e-12,9.68840223093529e-09,"Csmd3","CUB and Sushi multiple domains 3","239420"
"ENSMUSG00000062345",7.20369235431843,3.14888657936265,266.943593300463,8.56764691841953e-12,9.68840223093529e-09,"Serpinb2","serine (or cysteine) peptidase inhibitor, clade B, member 2","18788"
"ENSMUSG00000040759",-7.42180915356558,8.03031323336846,507.008844080887,1.14162847730141e-11,1.21502847293026e-08,"Cmtm5","CKLF-like MARVEL transmembrane domain containing 5","67272"
"ENSMUSG00000090958",6.35350720477254,5.87071060140339,479.938280202896,1.56881111520821e-11,1.37770112213543e-08,"Lrrc32","leucine rich repeat containing 32","434215"
"ENSMUSG00000024411",-7.34194002636103,6.47523955135224,483.935860090315,1.60337339259031e-11,1.37770112213543e-08,"Aqp4","aquaporin 4","11829"
