"","logFC","logCPM","F","PValue","FDR","SYMBOL","GENENAME","ENTREZID"
"ENSMUSG00000051041",-9.96682246554648,6.15175637439542,830.514829405102,1.93301344732401e-14,3.49740123024332e-10,"Olfml1","olfactomedin-like 1","244198"
"ENSMUSG00000028238",13.5353143819767,7.87545088518655,547.031848126688,7.42037678859931e-14,6.64755638683071e-10,"Atp6v0d2","ATPase, H+ transporting, lysosomal V0 subunit D2","242341"
"ENSMUSG00000004894",-9.91818431527006,6.77464118537981,773.976026588087,1.41166955344899e-13,6.64755638683071e-10,"Hapln2","hyaluronan and proteoglycan link protein 2","73940"
"ENSMUSG00000001773",-8.65747982993623,4.25175244065306,489.714357477447,1.46964160433996e-13,6.64755638683071e-10,"Folh1","folate hydrolase 1","53320"
"ENSMUSG00000031972",8.6394883235331,2.98625125264116,315.185773994544,1.89237121298603e-13,6.84773447131124e-10,"Acta1","actin alpha 1, skeletal muscle","11459"
"ENSMUSG00000050578",12.1160480877685,7.12670911750587,493.758438569529,2.47498845018463e-13,7.46332767153175e-10,"Mmp13","matrix metallopeptidase 13","17386"
"ENSMUSG00000062515",9.87461167994799,6.31030068097763,753.634108290311,4.38231662774987e-13,1.13270363922683e-09,"Fabp4","fatty acid binding protein 4, adipocyte","11770"
"ENSMUSG00000009654",9.49470252257308,3.33282845250905,290.444778937811,1.17873387958028e-12,2.48132486787031e-09,"Oit3","oncoprotein induced transcript 3","18302"
"ENSMUSG00000054162",-9.8333106006095,5.56552944229646,393.465926536453,1.360288992225e-12,2.48132486787031e-09,"Spock3","sparc/osteonectin, cwcv and kazal-like domains proteoglycan 3","72902"
"ENSMUSG00000001131",11.6646351944342,7.32018398147229,461.018249938131,1.39510403935814e-12,2.48132486787031e-09,"Timp1","tissue inhibitor of metalloproteinase 1","21857"
"ENSMUSG00000022311",-7.99765754993797,4.85920739657957,546.022148090641,1.51378932228771e-12,2.48132486787031e-09,"Csmd3","CUB and Sushi multiple domains 3","239420"
"ENSMUSG00000019997",8.45785716434181,8.99490863905654,686.182050383613,1.6457137243378e-12,2.48132486787031e-09,"Ccn2","cellular communication network factor 2","14219"
"ENSMUSG00000056222",-6.98722084970317,5.62024810838259,653.527746261141,2.45671277026013e-12,3.41917724248589e-09,"Spock1","sparc/osteonectin, cwcv and kazal-like domains proteoglycan 1","20745"
"ENSMUSG00000040133",8.01800999785345,4.12723738530751,526.936927187315,2.69378796454695e-12,3.48133611732486e-09,"Gpr176","G protein-coupled receptor 176","381413"
"ENSMUSG00000040759",-8.52938768534559,8.03031323336846,623.822263789865,3.11744523511344e-12,3.76026244259384e-09,"Cmtm5","CKLF-like MARVEL transmembrane domain containing 5","67272"
"ENSMUSG00000043448",-9.03045628942161,5.90181311854117,457.399279432277,3.55925975186696e-12,4.02485541815806e-09,"Gjc2","gap junction protein, gamma 2","118454"
"ENSMUSG00000023505",6.64312047324069,5.14629027114061,566.707827858616,5.96421409565355e-12,5.66346481168293e-09,"Cdca3","cell division cycle associated 3","14793"
"ENSMUSG00000049493",-7.76283520589432,5.63536190358982,544.486832291076,6.28903543552244e-12,5.66346481168293e-09,"Pls1","plastin 1 (I-isoform)","102502"
"ENSMUSG00000044206",8.12941293069529,2.47756257359293,213.461128622628,6.39953334124299e-12,5.66346481168293e-09,"Vsig4","V-set and immunoglobulin domain containing 4","278180"
"ENSMUSG00000090164",-8.45205018474768,4.76384812968937,320.711172990472,6.41495972911795e-12,5.66346481168293e-09,"BC035044","cDNA sequence BC035044","232406"
"ENSMUSG00000062345",8.78915939146123,3.14888657936265,274.472075341235,6.86089215377594e-12,5.66346481168293e-09,"Serpinb2","serine (or cysteine) peptidase inhibitor, clade B, member 2","18788"
"ENSMUSG00000073424",-9.46231958019798,4.50424202095352,301.941701944866,7.07736065112127e-12,5.66346481168293e-09,"Cyp4f15","cytochrome P450, family 4, subfamily f, polypeptide 15","106648"
"ENSMUSG00000027375",-8.34318949922189,9.09532379707044,542.638168193384,7.1994523113197e-12,5.66346481168293e-09,"Mal","myelin and lymphocyte protein, T cell differentiation protein","17153"
"ENSMUSG00000029762",6.35278415638753,5.56646719781392,530.813674877212,8.38374474058895e-12,5.87282427759772e-09,"Akr1b8","aldo-keto reductase family 1, member B8","14187"
"ENSMUSG00000089633",-8.68508198428451,4.04626925312635,289.255104781585,8.89681410493522e-12,5.87282427759772e-09,"A230009B12Rik","RIKEN cDNA A230009B12 gene","319750"
"ENSMUSG00000034648",-7.64291089958259,5.4763665519889,494.282724631565,9.25874339495225e-12,5.87282427759772e-09,"Lrrn1","leucine rich repeat protein 1, neuronal","16979"
"ENSMUSG00000091475",-6.84426993260929,7.02725651898742,521.198718751998,9.34347705800632e-12,5.87282427759772e-09,"Cerox1","cytoplasmic endogenous regulator of oxidative phosphorylation 1","72834"
"ENSMUSG00000051022",-6.64063136941382,5.46647679560233,526.606778416661,9.43124878212764e-12,5.87282427759772e-09,"Hs3st1","heparan sulfate (glucosamine) 3-O-sulfotransferase 1","15476"
"ENSMUSG00000050121",-8.93083991243747,8.78649322931352,520.731753470769,9.48176789624817e-12,5.87282427759772e-09,"Opalin","oligodendrocytic myelin paranodal and inner loop protein","226115"
"ENSMUSG00000020649",6.91376980705064,6.6908332546957,517.456551995431,9.73772886353461e-12,5.87282427759772e-09,"Rrm2","ribonucleotide reductase M2","20135"
"ENSMUSG00000003974",-8.49106793525735,5.94522034437538,479.911265906844,1.0245865176192e-11,5.97994963331748e-09,"Grm3","glutamate receptor, metabotropic 3","108069"
"ENSMUSG00000022132",-9.37532931673256,7.24081403019162,502.440501048058,1.14472611558944e-11,6.14063598548187e-09,"Cldn10","claudin 10","58187"
"ENSMUSG00000042367",7.30871068767528,1.67786713236775,203.149303687684,1.15423728069322e-11,6.14063598548187e-09,"Gjb3","gap junction protein, beta 3","14620"
"ENSMUSG00000031465",7.02354116750081,6.40499513248798,499.179872364589,1.22665160627907e-11,6.14063598548187e-09,"Angpt2","angiopoietin 2","11601"
"ENSMUSG00000091735",-8.5309119059977,4.93296998468355,338.516704472971,1.24884669289523e-11,6.14063598548187e-09,"Gpr62","G protein-coupled receptor 62","436090"
"ENSMUSG00000033579",-8.64904099629592,6.15013044998276,447.019538890478,1.30211014824033e-11,6.14063598548187e-09,"Fa2h","fatty acid 2-hydroxylase","338521"
"ENSMUSG00000046240",-7.23410518834084,6.26570862013847,498.467157880516,1.31956574855934e-11,6.14063598548187e-09,"Hepacam","hepatocyte cell adhesion molecule","72927"
"ENSMUSG00000029838",-7.00677707904557,9.29051088440338,491.474180700631,1.33131097311859e-11,6.14063598548187e-09,"Ptn","pleiotrophin","19242"
"ENSMUSG00000026830",-8.06474888452033,8.35964680840966,491.991805976065,1.33918444746721e-11,6.14063598548187e-09,"Ermn","ermin, ERM-like protein","77767"
"ENSMUSG00000015980",5.86290880918864,5.21594393622961,491.345422022659,1.35757165433745e-11,6.14063598548187e-09,"Lrrc27","leucine rich repeat containing 27","76612"
"ENSMUSG00000048022",-6.41706703009509,5.57688022860355,492.130363134582,1.4185840947731e-11,6.14677018860494e-09,"Tmem229a","transmembrane protein 229A","319832"
"ENSMUSG00000039661",-6.50383666407491,6.97398661463558,486.355808597307,1.43406600185367e-11,6.14677018860494e-09,"Dusp26","dual specificity phosphatase 26","66959"
"ENSMUSG00000024411",-7.40750948428298,6.47523955135224,490.897135757939,1.46699729838779e-11,6.14677018860494e-09,"Aqp4","aquaporin 4","11829"
"ENSMUSG00000100147",-6.87751308200562,5.44491530109032,489.273743168035,1.49482058419619e-11,6.14677018860494e-09,"1700047M11Rik","RIKEN cDNA 1700047M11 gene","67330"
"ENSMUSG00000020486",-7.72974935747929,10.1303241312202,464.503665931985,1.89404374542014e-11,7.45582296938786e-09,"Septin4","septin 4","18952"
"ENSMUSG00000041377",-7.30729985050964,5.07582589423919,450.187258587208,1.89558313486896e-11,7.45582296938786e-09,"Ninj2","ninjurin 2","29862"
"ENSMUSG00000090958",6.25159512358783,5.87071060140339,463.531635777773,1.94938808280949e-11,7.50431459197278e-09,"Lrrc32","leucine rich repeat containing 32","434215"
"ENSMUSG00000031004",6.09121289549031,4.30375100826411,465.354429428392,2.04405913173107e-11,7.57171828607835e-09,"Mki67","antigen identified by monoclonal antibody Ki 67","17345"
"ENSMUSG00000036634",-6.80497283305126,8.96512195261413,458.672925174588,2.05059523582512e-11,7.57171828607835e-09,"Mag","myelin-associated glycoprotein","17136"
"ENSMUSG00000020774",-8.55535053316469,8.12332907673308,454.948376933649,2.23181140494571e-11,8.07603274993655e-09,"Aspa","aspartoacylase","11484"
"ENSMUSG00000005233",5.96108659106437,5.74956209393025,447.874925798988,2.40276832322762e-11,8.29271018721854e-09,"Spc25","SPC25, NDC80 kinetochore complex component, homolog (S. cerevisiae)","66442"
"ENSMUSG00000036814",-9.94185249337853,4.45531214188053,307.295440978689,2.42635109515713e-11,8.29271018721854e-09,"Slc6a20a","solute carrier family 6 (neurotransmitter transporter), member 20A","102680"
"ENSMUSG00000049436",-8.16000144874337,5.2972530085179,418.270743518051,2.44963940945617e-11,8.29271018721854e-09,"Upk1b","uroplakin 1B","22268"
"ENSMUSG00000049723",13.7931218238287,13.003933872095,446.029373412833,2.48054344178125e-11,8.29271018721854e-09,"Mmp12","matrix metallopeptidase 12","17381"
"ENSMUSG00000017344",-7.46356674158712,8.509763595136,442.833636500015,2.55968901163776e-11,8.29271018721854e-09,"Vtn","vitronectin","22370"
"ENSMUSG00000073680",-7.02192643281462,6.84838334304966,444.459377144114,2.56669303313015e-11,8.29271018721854e-09,"Tmem278","transmembrane protein 278","320587"
"ENSMUSG00000055421",-5.96486565250026,6.49663422969347,436.511004967915,2.81808305836894e-11,8.81709682829205e-09,"Pcdh9","protocadherin 9","211712"
"ENSMUSG00000019942",6.86527930153406,6.22866944938749,434.899204158732,2.91685182576521e-11,8.81709682829205e-09,"Cdk1","cyclin dependent kinase 1","12534"
"ENSMUSG00000032087",-7.80784469828872,3.50018321469496,247.756084102009,2.92453959971371e-11,8.81709682829205e-09,"Dscaml1","DS cell adhesion molecule like 1","114873"
"ENSMUSG00000023011",-6.04162145544436,5.83951379559253,434.568318106903,2.95023072289656e-11,8.81709682829205e-09,"Faim2","Fas apoptotic inhibitory molecule 2","72393"
"ENSMUSG00000032291",8.16466533867401,3.19239268232356,195.941240823242,2.97265741737586e-11,8.81709682829205e-09,"Crabp1","cellular retinoic acid binding protein I","12903"
"ENSMUSG00000022044",-8.69781706041945,7.7726887339341,435.078324008282,3.05218098498563e-11,8.90695331634598e-09,"Stmn4","stathmin-like 4","56471"
"ENSMUSG00000076439",-10.7520430451369,8.94308841021237,426.615408702567,3.22975372037732e-11,9.16629117560933e-09,"Mog","myelin oligodendrocyte glycoprotein","17441"
"ENSMUSG00000020182",-7.5672346505612,4.22182981367283,331.15295020418,3.31777789335219e-11,9.16629117560933e-09,"Ddc","dopa decarboxylase","13195"
"ENSMUSG00000041205",-6.33210125719169,5.47933313368868,428.786549980809,3.33898320961672e-11,9.16629117560933e-09,"Map6d1","MAP6 domain containing 1","208158"
"ENSMUSG00000015090",-10.2230947566994,10.7955190876004,422.401869969039,3.44345883746844e-11,9.16629117560933e-09,"Ptgds","prostaglandin D2 synthase (brain)","19215"
"ENSMUSG00000015854",9.79401690736286,6.79280911730156,412.405898871922,3.51102391872294e-11,9.16629117560933e-09,"Cd5l","CD5 antigen-like","11801"
